,accommodates,bedrooms,bathrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews
8889,5,2.0,1.0,3.0,$598.00,5,1125,3
8890,4,1.0,1.0,2.0,$552.00,4,1125,19
8891,2,1.0,1.0,1.0,$453.00,2,1125,6
8892,6,3.0,2.0,6.0,"$1,648.00",5,1125,2
8893,2,1.0,1.0,1.0,$499.00,4,1125,3
8894,2,1.0,1.0,1.0,$407.00,3,1125,6
8895,7,4.0,1.0,7.0,"$1,747.00",3,1125,26
8896,2,1.0,1.0,1.0,$565.00,3,1125,29
8897,2,1.0,1.0,1.0,$598.00,3,1125,17
8898,2,1.0,1.0,1.0,$775.00,2,1125,6
8899,2,1.0,1.0,1.0,$847.00,1,1125,17
8900,5,3.0,1.0,3.0,$900.00,4,90,0
8901,7,3.0,1.0,6.0,$801.00,2,1124,35
8902,3,1.0,1.0,2.0,$427.00,3,1124,2
8903,4,2.0,1.0,1.0,$900.00,1,1125,3
8904,2,1.0,1.0,1.0,"$1,103.00",2,1125,15
8905,10,3.0,1.0,6.0,"$1,451.00",2,21,8
8906,2,1.0,1.0,1.0,$401.00,1,1125,24
8907,4,2.0,1.0,4.0,$650.00,2,4,24
8908,4,2.0,1.0,3.0,"$1,103.00",2,1125,12
8909,4,1.0,1.0,2.0,$552.00,1,1125,8
8910,4,2.0,1.0,2.0,$854.00,1,1125,2
8911,6,3.0,2.0,6.0,$775.00,2,1125,0
8912,2,1.0,1.0,1.0,$486.00,4,14,16
8913,3,1.0,1.0,1.0,$401.00,2,1125,11
8914,3,1.0,1.0,1.0,$900.00,2,1125,6
8915,2,1.0,1.0,1.0,$552.00,3,15,13
8916,1,1.0,1.0,1.0,$197.00,1,1125,1
8917,6,2.0,1.5,2.0,"$1,202.00",1,1125,3
8918,2,1.0,1.5,1.0,$598.00,2,30,7
8919,4,2.0,1.5,2.0,"$1,635.00",1,1125,0
8920,2,1.0,1.0,1.0,$473.00,3,4,1
8921,2,1.0,1.0,1.0,$374.00,2,1125,10
8922,2,1.0,1.0,1.0,$302.00,5,1125,6
8923,2,1.0,1.0,1.0,$598.00,2,1125,41
8924,2,1.0,1.0,1.0,$302.00,3,1125,13
8925,2,1.0,1.0,1.0,$401.00,1,1125,0
8926,3,2.0,1.0,2.0,$453.00,1,7,6
8927,4,1.0,1.0,1.0,$499.00,2,25,25
8928,2,1.0,1.0,1.0,$289.00,3,6,2
8929,2,1.0,1.0,2.0,$552.00,20,1125,9
8930,5,2.0,1.5,3.0,"$1,583.00",3,1125,28
8931,4,1.0,1.0,1.0,$512.00,3,1125,30
8932,2,1.0,1.0,1.0,$598.00,3,30,32
8933,2,1.0,1.0,1.0,$499.00,7,1125,5
8934,4,0.0,1.0,4.0,$499.00,1,1125,0
8935,5,3.0,1.0,5.0,"$1,497.00",7,21,0
8936,2,1.0,1.0,1.0,$289.00,2,1125,10
8937,3,1.0,1.0,1.0,$558.00,4,9,14
8938,2,2.0,1.0,1.0,$453.00,1,1125,2
8939,7,3.0,1.0,5.0,$716.00,5,1120,2
8940,2,1.0,1.0,1.0,$499.00,4,1125,6
8941,2,1.0,1.0,1.0,$703.00,2,1125,4
8942,2,1.0,1.0,1.0,$401.00,2,7,15
8943,2,1.0,1.0,1.0,$151.00,2,6,10
8944,2,1.0,1.0,1.0,$598.00,14,30,1
8945,2,1.0,1.0,1.0,$499.00,1,1125,0
8946,2,1.0,1.0,1.0,$788.00,1,1125,30
8947,2,1.0,1.0,1.0,$420.00,7,20,5
8948,5,3.0,2.0,4.0,"$1,799.00",3,1125,0
8949,2,1.0,1.0,1.0,$499.00,1,1125,8
8950,2,1.0,1.0,1.0,$703.00,3,1125,5
8951,3,1.0,1.0,1.0,$611.00,2,1125,10
8952,4,1.0,1.0,2.0,$552.00,1,1125,6
8953,2,1.0,1.0,1.0,$519.00,4,1125,7
8954,3,1.0,1.0,1.0,$493.00,2,1125,27
8955,5,3.0,1.0,4.0,$703.00,3,1125,0
8956,4,1.0,1.0,2.0,$650.00,3,1125,2
8957,4,2.0,1.0,2.0,"$1,202.00",3,21,19
8958,3,1.0,1.0,2.0,$453.00,2,1125,16
8959,3,1.0,1.0,2.0,$348.00,4,1125,3
8960,3,2.0,1.0,3.0,$998.00,1,1125,0
8961,2,1.0,1.0,1.0,$992.00,4,1125,0
8962,2,0.0,1.0,2.0,$401.00,2,1125,15
8963,2,1.0,1.0,1.0,$499.00,2,1125,73
8964,2,1.0,1.0,1.0,$749.00,4,1125,2
8965,3,1.0,1.0,2.0,$453.00,3,1125,2
8966,2,2.0,1.0,1.0,$650.00,1,1125,8
8967,6,3.0,1.0,4.0,$847.00,3,15,0
8968,3,1.0,1.0,2.0,$867.00,4,30,17
8969,2,1.0,1.0,2.0,$322.00,1,1125,0
8970,4,1.0,1.0,2.0,$342.00,3,1125,0
8971,3,1.0,1.0,2.0,"$34,797.00",1,1125,1
8972,5,1.0,1.0,3.0,$499.00,30,1124,20
8973,2,2.0,1.0,1.0,$703.00,2,1125,17
8974,2,1.0,1.0,2.0,$361.00,1,1125,41
8975,4,3.0,1.0,3.0,$998.00,5,1125,2
8976,4,3.0,1.0,3.0,$900.00,6,1125,7
8977,2,1.0,1.0,2.0,$447.00,5,10,0
8978,2,1.0,1.0,2.0,$348.00,2,1125,26
8979,6,4.0,1.5,4.0,$847.00,4,20,1
8980,2,1.0,1.0,1.0,$401.00,2,1125,6
8981,3,2.0,1.0,2.0,$401.00,4,1125,4
8982,4,2.0,1.0,2.0,$801.00,2,40,33
8983,3,1.0,1.0,4.0,$598.00,2,1125,4
8984,2,1.0,1.0,2.0,$598.00,1,14,21
8985,4,2.0,1.0,2.0,$499.00,3,1125,0
8986,2,1.0,1.0,2.0,$696.00,3,1125,0
8987,2,1.0,1.0,1.0,$617.00,2,1123,81
8988,3,1.0,1.0,1.0,$302.00,1,1125,0
8989,2,1.0,1.0,1.0,$243.00,1,1125,0
8990,1,1.0,1.0,1.0,$374.00,3,14,44
8991,2,1.0,1.0,1.0,$552.00,5,10,3
